,Tweets,class
639,u s health authorities are advising americans to avoid traveling to south korea as the country reported its highest number of covid deaths in a month during a fast developing omicron surge rstyafebed,1
271,pregnant people infected with covid appear to be more likely to experience serious complications or die during pregnancy than those who aren t infected with the coronavirus according to new peer reviewed research published in jama ,1
199,walmart administered of its vaccines against covid in medically underserved areas of the u s since the shots became widely available ,1
151,the white house is unveiling a new covid strategy here s what you need to know mjdbhungxi,1
516,the fda is expected to release its review of the pfizer biontech covid vaccine for children under age as soon as friday ,1
74,while you re terrified of covid some climate alarmists are overjoyed because for them fear is an opportunity,0
245,hold your breath coronavirus is coming ,0
256,a newly published study suggests a link between vitamin d deficiency and severity of disease from covid infection ksnzoarmpc,1
195,how to treat coronavirus without drugs,0
101,yes coronavirus is a bioweapon with gene sequencing that s only possible if it was genetically modified in a lab,0
313, it s time to reopen our city mayor eric adams said on friday when he announced that new york city was ending its mask mandate for public schools and a proof of vaccination requirement for indoor dining gyms and entertainment venues qqgmjdnptc ,1
106,miles guo ccp ordered guo deyin to create wuhan coronavirus,0
630,trump discovers obama was funding chinese lab that may have spawned the coronavirus,0
54,aaron rodgers has apologized to his loved ones who got caught in the middle of the attention directed at him after his covid comments earlier in the season ,1
90,at their peak weekly pediatric covid hospitalization rates were four times higher during a period of omicron dominance than during a period of delta dominance ,1
170,white house unveils new covid response strategy here s what to know fvnoekkooq ,1
177,bioweapons expert speaks out about novel coronavirus,0
634,robert f kennedy jr exposes bill gates vaccine agenda in scathing report,0
1035,clinic s approach to the virus mimics its same approach to different strains of the flu a high dose shot of vitamin and iv infusions of vitamin c megadoses,0
932,u s election is canceled due to coronavirus,0
1004,dr fauci sat on microsoft s board of directors ,0
136,europe is waking up from covid and finding itself in economic recession and abuse of human rights,0
259,special report mike adams joins alex jones to reveal how coronavirus is an engineered weapon to destroy the western world,0
444,high inflation a tight labor market stressed supply chains and dwindling liquidity it all deepens the challenges that small companies have faced since the onset of the covid pandemic ,1
263,no vaccine no job eugenicist bill gates demands digital certificates to prove coronavirus vaccination status,0
277,new evidence emerges coronavirus bioweapon might have been a chinese vaccine experiment gone wrong genes contain pshuttle sn sequences proving laboratory origin,0
429,the cdc plans to release new recommendations friday for when mask wearing should be considered to protect against covid ,1
1053,the coronavirus is a pretext for the global elites ambitions to reduce world population,0
649,many americans are seeking religious exemptions in order to circumvent covid vaccine mandates but they re getting little encouragement from major religious denominations and prominent faith leaders ,1
442,canada is set to extend the use of the special emergency powers invoked last week by prime minister justin trudeau to quell protests against covid mandates ,1
598,the new system greatly changes the look of the cdc s risk map and puts more than of the u s population in counties where covid is posing a low or medium threat to hospitals ,1
330,breaking news california oregon and washington will stop requiring masks in schools after march the governors of the three states said ,1
639,it s now clear that fauci is trying to deprive america of a coronavirus cure,0
669,virus update who global covid case counts down last week cases rise in afghanistan as health system crumbles u s air force approves religious exemptions for covid vaccine study omicron spike hit nyc deer too more coverage ,1
266,special report mike adams joins alex jones to reveal how coronavirus is an engineered weapon to destroy the western world,0
152,is the coronavirus the biggest cover up in history ,0
20,starting thursday the us territory in the caribbean will no longer require that domestic travelers provide proof of vaccination or take a covid test before arrival ojjjhkltot,1
392,watch what does it actually mean for covid to enter endemic stage we break down factors public health experts use to assess a virus ,1
238,children and adolescents were nearly four times more likely to be hospitalized due to covid associated complications during this winter s omicron fueled wave compared to the period of delta predominance according to the cdc ,1
650,olympic athletes who tested positive for covid at feel their quarantine conditions are making a bad situation much worse they ve complained about inedible meals poor hygienic conditions and a lack of access to training equipment ,1
624,robert f kennedy jr drops fresh bombshell bill gates coronavirus vaccine will pay out billions in profits to dr fauci s agency,0
235, cancer fighting essential oils ways to use them,0
7,the fda is postponing an advisory panel meeting on authorizing pfizer s covid vaccine in children under ,1
38,the national football league nfl and nfl players association nflpa have agreed to suspend all covid protocols effective immediately according to a league wide memo sent thursday ,1
144,covid was linked with significant and damaging brain abnormalities even in mild cases according to a study published in nature on monday shedding light on what could be behind the lingering symptoms of long covid ,1
342,facing its worst covid outbreak hong kong will require its more than seven million residents to take three coronavirus tests over a short period in march the city s chief executive said ,1
519,the covid pandemic helped spark a nationwide housing boom with prices rising rapidly in every corner of the u s but intense competition has pushed more buyers out of the market especially at lower price points ,1
522,a convoy of trucks and other vehicles operated by people protesting covid vaccine mandates and social restrictions are clogging downtown ottawa here s what you need to know ,1
678,we asked dozens of experts whether most countries will still be employing extraordinary public health measures to slow the spread of covid at the end of read their responses here ,1
933,who made coronavirus was it the u s israel or china itself ,0
246,as more and more countries ease covid restrictions and prepare to live with the virus experts warn covid will remain a permanent fixture in our lives and could still cause widespread and serious disease possibly even giving rise to another pandemic in the future ,1
594,new ap norc poll omicron is fading away and with it americans worries about covid fewer say they re concerned they ll be infected now compared to january following the rise and fall of the contagious variant ,1
524,from wsjopinion the lesson for the covid police is that when you ve lost even canadians arguably the most law abiding people on the planet you ve lost the political plot it s time for the pandemic emergency orders to end ,1
684, covid may be shrouded in uncertainty but one thing is certain another pandemic is always around the corner ,1
596,is omicron leading us closer to herd immunity against covid experts say it s not likely that the highly transmissible variant or any other variant will lead to herd immunity here s why ,1
454,covid vaccines have been highly effective and very safe but for a small minority the side effects have been serious leaving governments grappling with how to handle hundreds of injury claims ,1
69,the antiparasitic drug ivermectin doesn t prevent severe disease from covid any more effectively than symptom management and close observation by medical professionals according to a new study ,1
630,israel s prime minister says the country s coronavirus vaccination green pass system will be suspended as new daily cases of covid continue to decline ,1
1046,chinese spy team sent pathogens to the wuhan facility,0
600,this mom fought for her life against covid while under sedation and breathing with the help of machines two months after giving birth by emergency cesarean section she was finally reunited with her new baby ,1
384,novavax s long awaited covid vaccine is moving toward u s authorization if the shot is rolled out in the u s it could boost vaccination efforts that have flagged among the hesitant according to novavax and doctors ,1
292,the coronavirus hoax governments love crises ,0
929,supermarkets are recalling coronavirus infected toilet paper,0
548,solving the wuhan covid mystery,0
141,the global death toll from covid passed million monday a bleak milestone as a growing number of countries around the world drop all pandemic restrictions and prepare to live with the virus ,1
259,canadian truckers protesting canada s covid vaccine mandates have raised million usd more than half of the amount they aim to raise on givesendgo a christian crowdfunding site ,1
86,the biden administration has informed key lawmakers that it will likely need billion in supplemental funding to continue the fight against covid a source familiar with the matter said ,1
597,for two years hong kong successfully insulated most of its residents from covid and often went months without a single locally spread case then the omicron variant showed up the mutation breached hong kong s defenses and has been spreading rapidly ,1
250, and respirator masks reduce the odds of testing positive for covid by compared to for surgical masks and for cloth masks according to a real world study ,1
211,every member of congress will be allowed to attend president joe biden s first state of the union address on march according to multiple reports after biden s address to a joint session of congress last spring was limited to just people because of covid protocols ,1
135,the geopolitical consequences of covid over the cliff,0
955,vitamin c protects against coronavirus,0
535,bill gates plan to vaccinate the world,0
48,new york will no longer require students to wear masks in schools beginning on wednesday gov kathy hochul announced sunday citing steep declines in covid hospitalizations statewide drcyztlhrg,1
514,school districts around the u s are rapidly rolling back covid policies with many eyeing a return to more normal classroom life and operations as infection rates fall and fewer students and teachers miss class ,1
399,the covid omicron surge is fading but there s still a staffing crisis at many u s hospitals a shortage of nurses and other staff means fewer beds for patients ,1
248,study finds increased heart disease stroke risk after surviving even mild covid pznymdhvvv,1
74,new lab experiments from japan show that ba may have features that make it as capable of causing serious illness as older variants of covid including delta the findings were posted as a preprint study on the biorxiv server before peer review ,1
187,less than of ukraine s population is fully vaccinated and covid treatments will be harder to access in the middle of a war zone ,1
352,gov glenn youngkin has signed into law a bill that will effectively bar mask mandates in virginia schools the bill will also remove school districts ability to close buildings and switch to remote learning except in limited circumstances ,1
269, what are the odds a timeline of facts linking covid hiv wuhan s secret bio lab,0
27,what does the pandemic s new normal mean for you if you missed the sunday edition of cnn s things podcast elizabeth cohen examines what the next phase of covid could look like with the biden administration s new plan listen here ,1
290,covid raises risk of pregnancy complications including death around birth preterm delivery and postpartum hemorrhage study finds ,1
659,novavax says its covid vaccine is proving safe and effective for kids as young as the maryland based company s vaccine has been cleared for use in adults in parts of the world including britain and europe and is under review in the u s ,1
116,canadian truckers clogging key routes between canada and the us over their opposition to covid mandates say they re not going anywhere in an act of defiance with rippling effects on both sides of the border ,1
76,mark finchem the arizona secretary of state candidate backed by former president donald trump spread dangerous misinformation about the covid pandemic on social media ,1
443,the u k will lift all remaining covid restrictions in england this week including a legal requirement that those infected with the virus self isolate as prime minister boris johnson looks to fully reopen the british economy and society vxgboskpak,1
23,the cdc recommended children get vaccinated in november when the shot became available to most kids but florida surgeon general joseph ladapo said the state is going to issue separate guidance urging parents not to vaccinate their kids ,1
42,president biden says americans will be able to order additional free covid tests starting next week sotu ,1
638,ottawa s police chief has resigned amid criticism of his inaction against the covid protests that have paralyzed canada s capital the bumper to bumper protest in ottawa by hundreds of truckers has gone on for more than two weeks ,1
441,redfield and birx can they be trusted with covid ,0
692,the wealthy have already learned how to live with covid albeit at a very high cost now the rest of the world must figure out how to do the same on a budget yasmeenserhan writes ekyzoerkps,1
547,for those who lost partners the memory of love lingers a woman whose husband died of covid early in the pandemic still visits their favorite restaurant placing the same order with the same waitress ,1
125,cnn s gary tuchman looks at one south dakota hospital that is overwhelmed with covid patients in a state that is experiencing explosive covid case counts ,1
186,walmart administered of its vaccines against covid in medically underserved areas of the u s since the shots became widely available xkdvhdjdkz ,1
188,after two years of wrestling with the covid pandemic the aviation industry is once again poised for a decade of growth ,1
179,after two years of wrestling with the covid pandemic the aviation industry is once again poised for a decade of growth ygwqwadzlq zumajkyqqv,1
328,china post said it would conduct coronavirus tests on all overseas mail even opening letters and packages to examine their contents with the recipient s consent however experts say the risk of contracting the virus from surfaces is nearly nonexistent ,1
386,covid restrictions are easing restaurants are deciding whether to keep masks on the menu iyhktbloce,1
502,getting to know her patients is the best part of nurse nikki s job when you fight so hard for someone you want them to live she said it s like a punch in the stomach when they die ,1
119,marg makins family has been in the trucking business for generations as she watches the crowds of truckers protest vaccine mandates across canada she wants to tell them about her son who died from covid ,1
557,two years ago ecuador s largest city was battered by one of the world s deadliest outbreaks of covid now it is facing an explosion of violence mfwkzjxzun,1
35,in parts of the us metrics indicate there s a significantly lower risk you ll get sick from covid and the end of the pandemic stage of covid may be near experts say tyctmsayhg,1
498,walmart dropped its mask rules for vaccinated workers and ended its covid paid time off policy after several states lifted mask mandates ,1
44,as the us emerges from the omicron wave covid testing has slowed to a fraction of what it was at the beginning of the year ,1
369,the awkwardly sized card that you got when you were vaccinated for covid never quite fit in your wallet so it would be no surprise if you ve misplaced yours by now don t panic here s what to know ,1
280,cvs reported more than billion in quarterly profits thanks in part to a rush of customers being vaccinated against covid or tested for the virus ,1
592, i have a mark that can never be erased in somaliland young women have been challenging the practice of female genital mutilation which has deep cultural roots there and elsewhere but covid complicated prevention efforts otrwzfecbg,1
612,police in new zealand s capital of wellington say a protester drove a car toward a police line narrowly avoiding officers and other protesters sprayed officers with a stinging substance the demonstration has centered on covid vaccine mandates ,1
17,the florida department of health released new guidance tuesday that says healthy children between the ages of to do not need to get the covid vaccine ,1
434,dead founder of canada s lab key to wuhan coronavirus investigation,0
1076,bill gates has proposed micro chipping people to fight the coronavirus pandemic,0
258,canadian truckers protesting canada s covid vaccine mandates have raised million usd more than half of the amount they aim to raise on givesendgo a christian crowdfunding site ,1
1057,force vaccination forcing brain debilitating agents will be introduced as the coronavirus pandemic is declared,0
1059,the coronavirus is a pretext for the global elites ambitions to reduce world population,0
356,bars and restaurants in washington d c will no longer have to require masks indoors starting march the mayor said monday ,1
109,vitamin c protects against coronavirus,0
463,amid the omicron wave in january a record number of patients in hospitals had covid they caught while there a wall street journal analysis found tetxdhmagi,1
287,covid raises risk of pregnancy complications including death around birth preterm delivery and postpartum hemorrhage study finds ,1
37,the director of the us centers for disease control and prevention on thursday rebuked florida gov ron desantis for recently scolding a group of high school students who were wearing masks to protect against covid qqzazgpfsb,1
201,walmart administered of its vaccines against covid in medically underserved areas of the u s since the shots became widely available ,1
666,some estimates suggest more than a third of covid survivors will develop some symptoms of long covid which include fatigue brain fog shortness of breath and other problems scientists are racing to figure out what s behind the mysterious condition ,1
81,most americans are weary of covid recent polling shows but there s less consensus over how that exhaustion should translate into policy ,1
100,north america s busiest land border crossing has reopened after a nearly weeklong blockade of the ambassador bridge by protesters decrying covid mandates ,1
273,is coronavirus a manufactured bioweapon that chinese spies stole from canada ,0
329,president biden will set out steps to protect nursing home residents and hold providers accountable for unsafe and substandard care as part of his state of the union address including expanding inspections and penalties on bad actor facilities ,1
203,was coronavirus a plan demic as part of population control these videos certainly make one consider that possibility,0
229,the cdc announced tuesday it changes guidance for cruising for the second time in less than a week the agency eased its warning about covid risk citing a lower number of covid cases reported on vessels recently ,1
656,bringing in more than people for the winter olympics poses risks for a country determined to keep covid out one week into the day event china appears to be meeting the challenge with a bubble that restricts the movement of participants ,1
566,on march the who declared covid a pandemic and the world changed two years later at least million people have died around the world but now relief and hope are creeping back in after a long period of loss fear and uncertainty ,1
478,chinese leader xi jinping told hong kong s government to control a spiraling covid outbreak that has overwhelmed the city s healthcare system ,1
97,canadian truckers recently shut down north america s busiest land border crossing to protest covid mandates but in the united states truck drivers have long been frustrated with other problems like bad pay for long hours and weeks away from home ,1
297,a caravan of vehicles that had driven across the u s to protest vaccine mandates and other covid restrictions reached the capital region this week but as the convoy circled the city downtown washington d c was business as usual ,1
194,after several attempts at getting people to go back to their offices only to be thwarted by the covid surges including the delta and omicron variants it may finally happen ,1
13,there s been a debate for much of the last few months as to when we really will know that the covid pandemic is over analysis by chris cillizza ,1
621,breaking police in canada say they have arrested at least people and made progress in clearing out truckers who have paralyzed ottawa for three weeks in a protest against the country s covid restrictions ,1
577,were they under the spell of undercover agents or were they actually plotting to kidnap michigan s governor jury selection begins tuesday in the trial of four men accused of conspiring to kidnap gov gretchen whitmer over her covid restrictions ,1
284,johnson amp johnson temporarily halted production of its covid vaccine late last year reports claim ,1
470,covid deaths are starting to decline in the northeast and midwest but still rising in california following similar trends for cases and hospitalizations ,1
404,president biden will deliver his first state of the union address as he seeks to tamp down a war in ukraine guide the u s and its economy through the covid pandemic and help buoy democrats in november s midterm elections fxouyusxyq,1
296,germany reported a record number of new covid cases on wednesday amid a wave of infections fueled by the omicron variant the same day the country s government discussed plans to drop most masking and social distancing rules and vaccine requirements ,1
321,rural parts of the u s have fallen even further behind in vaccinating people against covid since all adults became eligible for vaccines making reducing death tolls in those areas difficult the cdc said lrdaiajsbo,1
616,the average daily number of covid cases and hospitalizations are continuing to fall in the u s an indicator that the omicron variant s hold is weakening across the country ,1
350,dr rochelle walensky director of the cdc said the agency would soon issue new guidance including on masks for the next phase of the pandemic ,1
309,china is facing its biggest coronavirus outbreak since the early days of the pandemic driven by the omicron variant more than new cases were reported over the weekend almost as many as were reported during the previous week ,1
468,senate democratic leaders were struggling to pass a stopgap bill keeping the government funded beyond friday as tussles over proposed gop amendments related to drug paraphernalia and covid vaccine mandates remained unresolved ,1
745,two stories indicate coronavirus herd immunity,0
87,the united states has a booster shot problem as other nations hurtle ahead in their covid vaccination programs lagging uptake in the us of the third vaccine is concerning public health experts ,1
1062,the coronavirus is a us biological weapon to reduce the planet s population,0
430,initial jobless claims a proxy for layoffs fell to a seasonally adjusted last week as covid cases continued to decline ,1
91,while new covid cases and hospitalizations keep tumbling more than americans are still dying every day from covid ,1
243,according to china s national health commission eight new local covid cases were reported in suzhou on tuesday ,1
389,hybrid immunity from delta infections helped keep omicron deaths low in countries where millions aren t fully vaccinated against covid ,1
420,the cdc on friday eased its guidelines for covid masking including at schools adding hospital strain to its factors for assessing threat levels across u s counties ,1
1052,phenomena of coronavirus crisis,0
508,messenger rna vaccines protection against covid hospitalization remained strong overall after three doses but did wane over time the cdc said friday reporting results from a study ,1
1041,drinking cold water hot drinks or alcohol protects against coronavirus,0
406,president biden is expected to address ukraine covid and his build back better agenda when he speaks before congress tuesday evening here s what to know about the state of the union ,1
338,breaking news a new two dose covid vaccine made by the europe based pharmaceutical companies sanofi and gsk showed efficacy against severe disease and may be an effective booster for other shots its makers said ,1
359,president biden said that it was probably premature to end covid measures like indoor mask mandates while suggesting that other restrictions may soon be able to end pgdjmqeitm,1
128, this is a trend that is a warning to us a dire warning that we could be at capacities we never imagined omicron may be declining across much of the us but this south dakota hospital is still running an expanded icu in the midst of a covid surge jenecarksm,1
124,read the latest on covid cdc director says now is not the time to lift covid mask guidelines who says global covid deaths increased by compared to last week sweden lifts majority of covid restrictions ,1
529,the science of fear how the elitists use it to control us how to break free,0
255,j r nyquist interviewed by mike adams coronavirus china bioweapons and world war iii,0
5,canadian prime minister justin trudeau says the federal government is invoking the emergencies act to supplement provincial and territorial capacity to address the blockages and occupations connected to protests over covid health measures ,1
160,a new study of patients suffering from long covid revealed that had at least one diagnostic test finding consistent with nerve damage xemecffvmz,1
218,wales has become the first u k country to say it will offer covid vaccines to all children aged between five and years old ,1
352,pandemic and the politics of survival the horizons of a new type of dictatorship,0
581,death rates remain high in eastern europe a region that is now seeing more than million refugees arrive from war torn ukraine a country with poor vaccination coverage and high rates of covid cases and deaths naxqhrzrit,1
498,early large dose intravenous vitamin c is the treatment of choice for ncov pneumonia,0
181,roughly million children around the world have lost a parent or caregiver to covid according to a study published in the lancet child amp adolescent health medical journal omspkemtdf,1
999,bioweapons expert says coronavirus is biological warfare weapon,0
310,coincidence wuhan first province with full coverage now the center of the deadly virus ,0
157,a word on coronavirus ,0
474,fewer people say they are out of work for reasons having to do with covid according to new u s census data a sign that the labor market impact of the omicron variant of the virus could be receding ,1
965,the cdc recommends men shave their beards to be protected against the new coronavirus,0
9,for the first time in more than a month there are fewer than hospital beds in use for patients with covid nationwide according to data from the us department of health and human services ,1
557,vitamins c and d finally adopted as coronavirus treatment,0
345,origin of covid ecological historical and geopolitical,0
299,democrats abruptly scrapped a billion emergency response package meant to help fund the biden administration s new covid strategy ,1
595,nearly half of the million free covid tests made available by the biden administration have not been claimed as virus cases plummet and americans test less the white house sees the program as a step toward a plan that can handle surges in demand ,1
301,austria is abandoning its covid vaccine mandate less than a week before the rule was due to be enforced the law which was passed in january is not proportionate given the omicron variant s relatively mild symptoms an official said ,1
505,americans are paying about twice as much for gasoline now as they were early in the covid pandemic and the high price is costing consumers away from the gas pump too ,1
603,fauci knew about hcq in nobody needed to die,0
126,tensions stemming from protests spearheaded by canadian truck drivers over the country s covid mandates have been simmering in recent weeks so much so that a judge has temporarily banned demonstrators from using horns ,1
268,is coronavirus a manufactured bioweapon that chinese spies stole from canada ,0
129,the department of justice said thursday it had brought civil and criminal enforcement actions involving billion worth of alleged fraud stemming from congress trillion coronavirus relief bill passed in march and appointed a director of covid fraud enforcement ,1
459,surging demand and shrinking supply are making home buying more difficult particularly for middle class americans wsjwhatsnow ,1
539,covid live updates u k ends all restrictions australia reopens borders after nearly two years ,1
447,for the first time in over three weeks downtown ottawa was largely deserted sunday with the heavy duty trucks and thousands of freedom convoy protesters demanding an end to covid vaccine mandates replaced by police vehicles ,1
1065,the plague gods the geopolitics of epidemic and the bubbles of nothing,0
322,new zealand is experiencing a major covid outbreak driven by the omicron variant with more than new cases on thursday compared with only a few hundred daily cases earlier in the pandemic ,1
545,covid live updates vaccines could lower risk of long covid u k health agency says gjwhfcwzjj,1
53,covid and the terror of uncertainty,0
336,eating bananas is a preventative against the covid coronavirus disease,0
1066,the coronavirus represents the end of globalisation,0
469,every member of congress will be invited to president biden s state of the union speech on march but attendees will be required to wear masks and show proof of a negative covid test sovbbnbwjz,1
181,did u s and chinese researchers collaborate to create a coronavirus that can infect humans shocking scientific paper says yes ,0
28,the cdc recommended children get vaccinated in november when the shot became available to most kids but florida surgeon general joseph ladapo said the state is going to issue separate guidance urging parents not to vaccinate their kids ,1
874,covid is a scripted narrative to justify closed borders or force residents to remain home,0
477,surging demand and shrinking supply are making home buying more difficult particularly for middle class americans wsjwhatsnow ,1
101,police say arrests have been made and vehicles towed away following protests at a key us canada border crossing over covid mandates ,1
453,the pandemic has caused a reset in modern dating culture ,1
373,united airlines will allow workers who haven t been vaccinated against covid for religious or medical reasons to return at the end of this month according to people familiar with the decision ,1
225,as states and cities across the country lift mask mandates and proof of vaccination requirements amid a decline in new covid cases a new poll by apolitico morning consult shows how voters feel about the shift ,1
267,special report mike adams joins alex jones to reveal how coronavirus is an engineered weapon to destroy the western world,0
611,breaking hong kong orders mandatory citywide covid testing for population of nearly eight million by march amid its worst coronavirus outbreak wyzyupldhf,1
222,people who have been vaccinated against covid are less likely to suffer from long covid if they catch the virus than people who haven t according to a new review of studies by the u k health security agency yeggqjvwbr,1
344,hong kong is turning to traditional chinese medicine to treat covid patients taking another strategy from china s virus playbook the mainland government donated boxes of the medicine to help the city fight a surge in cases state news media said ,1
504,the pandemic has caused a reset in modern dating culture ,1
1051,coronavirus and the horizons of a multipolar world the geopolitical possibilities of epidemic,0
152,a new study of patients suffering from long covid revealed that had at least one diagnostic test finding consistent with nerve damage ,1
959,bill gates personally profits from a covid vaccine and he owns a company that will put a tracking microchip in you,0
1047,the coronavirus linked to a winnipeg laboratory,0
863,all you need to cure the coronavirus is a little sunshine ,0
255,after months of cycling through anecdotal claims that covid vaccines may be affecting menstrual cycles and calls for more studies you may be yearning for some real scientific evidence ,1
99,cuomo considers banning cigarette sales for six weeks amid coronavirus outbreak,0
646,breaking police have moved in to clear and arrest protesters opposed to covid vaccine mandates and other restrictions near the ambassador bridge a key u s canadian border crossing fewer than a dozen people blocked the road at the time ,1
651,breaking canadian police have moved in to remove protesters who have disrupted canada u s trade at a major bridge border crossing the demonstrators are protesting against canada s covid mandates and restrictions ,1
159,the white house is unveiling a new covid strategy here s what you need to know ,1
146,the global death toll from covid passed million monday a bleak milestone as a growing number of countries around the world drop all pandemic restrictions and prepare to live with the virus ,1
455,a hospital says consuming alcohol kills the coronavirus,0
319,the biden administration asked congress to provide billion in emergency aid on wednesday seeking to bolster the domestic response to the coronavirus pandemic and support ukraine in its fight against russia s invasion acszirfcgt,1
246,info to proper parties to assist with coronavirus containment,0
503,some democrats are zeroing in on the state of the union speech as a pivotal opportunity for president biden to embrace dropping of mask mandates and other rules ,1
85,while protesters objecting to covid safety measures continue to idle trucks and camp out in downtown ottawa other blockades situated at the canadian us border this week are standing down ,1
614, the situation is still fragile canadian prime minister justin trudeau said emergency powers are still needed despite the progress police have made in shutting down weeks long protests by truckers and others angry over canada s covid restrictions ,1
118,dhs is warning law enforcement that a convoy of truckers protesting covid vaccine mandates similar to recent protests in canada could soon begin in the us with the potential to affect sunday s super bowl in the la area and cause other disruptions hvvwhoxzbc,1
264,no vaccine no job eugenicist bill gates demands digital certificates to prove coronavirus vaccination status,0
303,covid shows no signs of going away how do we live with the virus long term the epidemiologist billhanage and the psychologist drsullivanatl join apoorvanyc to answer your questions join us now ,1
343,neil cavuto returned to host fox business after more than a month telling viewers that his absence was because of covid pneumonia that sent him to an intensive care unit doctors say had i not been vaccinated at all i wouldn t be here he said jwsafhsfvi,1
53,the interval between first and second doses of the pfizer and moderna covid vaccines may be as long as eight weeks for certain people the us centers for disease control and prevention said in vaccine guidance updated on tuesday ,1
579,the country with the most confirmed covid deaths is the united states with close to million daily u s cases hospitalizations and deaths have been trending downward over the last month ,1
331,dead bodies are piling up on gurneys in hospital hallways as hong kong s health system is overloaded by its biggest coronavirus outbreak of the pandemic more than people died from covid last week the latest official statistics show ,1
573,a jury has been selected for the trial of four men charged with plotting to kidnap michigan gov gretchen whitmer prosecutors say the men conspired to kidnap the democratic governor in because they were angry about covid restrictions she imposed vhikljyoxk,1
1063,coronavirus outbreak in europe criminal negligence or preplanned action,0
401,saying the u s has reached a new moment in the fight against covid president biden announced a test to treat initiative so people can get tested at a pharmacy and if they re positive receive antiviral pills on the spot sotu corrects link mdgjxgxiaj,1
308,piracy everywhere and pandemic for all,0
153,the corona virus lies are too many to contain,0
6,just in police say arrests have been made and vehicles towed away following protests at a key us canada border crossing over covid mandates ,1
590, i have a mark that can never be erased in somaliland young women have been challenging the practice of female genital mutilation which has deep cultural roots there but covid complicated prevention efforts as girls were kept home by lockdowns dhiufwddqz,1
1037,coronavirus was created in a lab in china,0
332,the mask mandate on the house floor at the u s capitol is being lifted in time for president biden s state of the union address on tuesday ,1
258, what are the odds a timeline of facts linking covid hiv wuhan s secret bio lab,0
268,dr anthony fauci said that the united states is heading out of the full blown pandemic phase of covid ,1
491,the white house correspondents association s gala is returning for the first time since the covid pandemic began trevor noah will host the event set for april ,1
245,shares of moderna plummeted monday as covid vaccine makers led a turbulent market decline pushing the stock to its lowest level in nearly a year xbushjyagj,1
56,israel plans to open its borders to all tourists no matter their covid vaccination status starting march ,1
591,mardi gras is back in new orleans and people are ready to celebrate fat tuesday a state holiday in louisiana will see the return of back to back parades throughout new orleans after festivities were canceled last year due to the covid pandemic ,1
1073,pseudo apocalypse coronavirus outbreak in china,0
374, this is not sustainable one upstate new york hospital sees staffing shortages worsening despite a drop in covid cases ,1
617,zimbabwe s leading opposition figure nelson chamisa drew thousands of cheering supporters to his first political rally since forming a new party weeks ago the country is gearing up for elections that have been postponed due to covid ,1
139,the world health organization said tuesday it supports broad and urgent access to covid booster shots after previously opposing wealthy countries administering booster shots as global vaccine supply improves whfhcroiiz,1
208,pentagon study flu shot raises risk of coronavirus by and other supporting studies ,0
683,as the world s democracies confront shared global challenges and brewing crises related to nuclear proliferation authoritarianism and the covid pandemic south korea is prepared to step up writes presidential candidate yoon suk yeol ,1
664,south korea will begin offering novavax inc s covid vaccine at hospitals nursing homes and public health centers next week adding another tool to fight a fast developing omicron surge zidzugxlrr,1
234,man made coronavirus kills hundreds bill gates has a vaccine for that ,0
277,as covid infections plummet nationwide following a brutal omicron driven surge pressure has also eased on the country s intensive care units in recent weeks with hospitals reporting more free icu beds and coronavirus patients taking up fewer spaces ,1
438,more people are taking their health into their own hands as the covid pandemic has made it more difficult to see a doctor and get tests done here are the pros and cons of do it yourself healthcare tools like apps gadgets and home tests elixxiamwe,1
485,men s tennis world no novak djokovic will continue to refuse vaccination for covid even if it costs him the chance to win more tournaments he said in an interview broadcast by the bbc on tuesday ,1
534,estée lauder exec ousted after posting racist covid meme featuring sesame street characters ,1
610,virus update hong kong orders mandatory covid tests for all residents canada lawmakers extend emergency powers for truck protests boris johnson scraps remaining virus restrictions queen still has mild covid symptoms more coverage ,1
291,prince charles tests positive for covid and is self isolating clarence house says ,1
41,hawaii s safe travels program established to slow the spread of covid through safety precautions for travelers will come to an end on march the state s governor announced ,1
969,coronavirus patients are being cremated alive in china,0
163,the white house is unveiling a new covid strategy here s what you need to know rqyrtxwcqw ,1
65,cnn medical analyst dr leana wen weighs in on the covid rules for children ,1
156,the disparity in covid vaccination rates between urban and rural americans has more than doubled since april with of residents of urban counties having received at least one dose as of the end of january compared to just in rural counties according to the cdc ,1
1005,plandemic,0
0,the global covid death toll hits a new grim milestone surpassing million as the world health organization s chief urges people to stay cautious and governments to stay the course ,1
467,the senate passed a bill to extend government funding for three weeks after rejecting gop measures on covid vaccine mandates and drug paraphernalia ,1
1000,the coronavirus pandemic can be dramatically slowed or stopped with the immediate widespread use of high doses of vitamin c,0
653,the fda has put the brakes on its push to speed pfizer s covid vaccine to children under creating major uncertainty about how soon the shots could become available ,1
130,covid has pushed americans back to grandma s kitchen where meatloaf not beyond meat is on the menu ,1
283,cvs reported more than billion in quarterly profits thanks in part to a rush of customers being vaccinated against covid or tested for the virus ,1
306,ukraine is still grappling with covid as russia s invasion strains the country s health care systems and creates medical supply shortages the who said the agency has sent oxygen tanks and other other supplies ,1
410,few countries bet bigger on contact tracing than south korea but most south koreans with covid now isolate themselves at home without ever communicating directly with health investigators ,1
196,after several attempts at getting people to go back to their offices only to be thwarted by the covid surges including the delta and omicron variants it may finally happen ,1
112,top best coronavirus infection prevention treatments,0
